Nuria;Guirao;25;10;2006;10;1433425600
Santiago;Cabello;26;1;2005;3;1025052074
Jesus;Valle;12;12;1996;6;1412156516
Maria Magdalena;Vazquez;2;6;2007;9;1444040296
Manuel;Lopez;1;11;2003;9;1490148745
Juan;Lopez;18;3;2003;4;1333485365
Rosa;Corral;9;4;2005;8;1486881164
Cristina;Prieto;24;4;2005;11;1206963874
Maria;Cuenca;13;8;2000;6;1173438537
Cristina;Sanchez;7;2;2002;1;1459968353
Maria angeles;Sanchez;25;7;1997;2;1415109141
Manuela;Perez;6;1;1995;11;1184165725
Raquel;Estrada;18;11;2008;7;1446168935
Antonia;Lloret;19;3;2008;4;1342947774
Laura;Calzado;4;3;2004;1;1491150854
Jose Antonio;Garcia;23;6;2008;7;1300611504
Rafael;Fajardo;17;4;2004;11;1098147536
Jose Manuel;Navarro;10;8;2003;1;1002491586
Maria Dolores;Campillo;12;4;2008;2;1380214458
Jesus;Sirvent;26;6;2008;5;1272865303
Paula;Martinez;12;1;2010;4;1464312726
Maria Carmen;Del Val;28;3;2000;6;1493510239
Luis;Martinez;19;2;1995;11;1050895744
Juan;Pulido;6;12;2002;10;1436069454
Santiago;Diaz;27;9;2004;8;1141608823
Carmen;Rodriguez;20;7;2006;1;1369599379
Monica;Ibañez;3;6;2005;9;1137695259
Beatriz;Solano;11;11;2001;5;1236251326
Antonia;Ribas;1;7;2002;1;1352712447
Concepcion;Magro;16;9;2008;8;1308010778
Maria Carmen;Garcia;19;4;2009;4;1321569921
Francisco;Carracedo;16;10;1996;7;1496636777
Miguel angel;Fuentes;28;3;1998;9;1153994971
Jesus;Delgado;31;4;1995;1;1400160954
Miguel angel;Sanz;24;10;1996;8;1147106507
alvaro;Gomez;17;7;1996;10;1332569782
Susana;Gallego;24;5;2002;8;1439902171
Maria angeles;Morales;18;8;2009;4;1104227880
Sergio;Suarez;1;11;2000;10;1184476803
Maria angeles;Martin;31;12;2009;8;1111583549
Josefa;Bermejo;21;2;2010;8;1287716792
Esther;Andrade;29;7;2000;11;1478437952
Antonio;Vasquez;6;3;2000;1;1426500874
Roberto;Gallego;20;10;2010;4;1313834738
Juan;Perez;12;7;1995;8;1374592353
Andres;Fernandez;16;11;2005;7;1170286893
Jorge;Vilanova;10;1;2009;5;1264030509
Pedro;Perez;26;8;2004;5;1305587256
Carmen;Negrin;12;12;2000;11;1126140784
Luis;Fuentes;2;4;1999;3;1366360929
Raquel;Muñoz;9;9;2002;6;1381856597
Fernando;Calero;24;1;2009;2;1120710506
Iria;Santos;30;5;1999;2;1212509693
Francisco;Chico;29;4;2005;1;1478780502
Ana;Cid;22;8;1998;9;1133111560
Sonia;Lozano;28;2;2008;10;1188569969
Jose Antonio;Ramos;29;6;2008;1;1212667517
Jose;Matias;29;12;1996;4;1226244072
Laura;Collado;12;10;2001;9;1429156722
Milagros;Quispe;13;9;1999;11;1447184725
Carme;Bernat;8;6;1999;1;1048045140
Maria angeles;Garcia;27;11;1996;6;1314049125
Vicente;Perez;22;2;2002;9;1283897550
Ivan;Marquez;13;6;1995;6;1360583779
Ana;Flores;25;7;1995;6;1473383798
Albert;Muñoz;18;10;1999;4;1017401830
Pilar;Nieto;29;5;1999;3;1420398582
Juana;Ruiz;17;10;1997;4;1399393132
Maria angeles;Lopez;31;3;2003;5;1463103130
Jose Maria;Rosillo;10;1;1995;8;1058348839
Alicia;Neira;12;3;2002;6;1423569066
Magdalena;Gallardo;3;10;1999;10;1162003799
Juan;Dos Santos;23;11;1998;2;1280421495
Francisco;Guerrero;17;9;2010;2;1449930529
Fernando;Dominguez;10;4;2003;8;1068175294
Maria Teresa;Ripoll;19;9;2007;11;1241807978
Jorge;Rodriguez;15;3;2002;7;1330850836
Francisco;Garrido;6;10;2003;7;1148499386
Ana;Martinez;16;6;2001;11;1291007818
Francisco;Perez;16;9;1997;3;1103725188
Felix;Viera;6;5;1998;1;1219992615
Maria Dolores;Aller;16;6;2003;3;1301622167
Emilio;Riquelme;15;1;1997;10;1006839253
Pilar;Triviño;8;5;1995;10;1278926743
Maria Mar;Garcia;16;5;2001;5;1393466379
Luis;Garcia;12;5;2002;10;1466745431
David;Doval;31;12;2006;11;1377180907
Maria Dolores;Augusto;23;12;2000;3;1342306731
Mireia;Gonzalez;2;3;1997;10;1259516477
Amparo;Garcia;5;2;2007;9;1321834365
Victor;Picon;22;9;2010;1;1293058176
Maria Josefa;Lobato;14;4;2009;9;1240838090
Antonio;Perez;11;1;1999;2;1190434023
Maria Concepcion;Montoya;5;4;2010;5;1358374887
Maria Pino;Martinez;26;12;1997;2;1252363049
Maria Carmen;Rego;10;5;1996;2;1480799645
Jesus;Castro;28;4;1996;1;1046338146
Beatriz;Sanchez;1;7;2006;3;1042092671
Jose Antonio;Herrera;12;1;2005;10;1033979260
Maria Jose;Gil;12;10;2006;11;1019517466
Jose Luis;Coto;22;2;1995;5;1176599884
Josefa;Duarte;2;11;2001;7;1402005729
Jose Miguel;Sanchez;13;6;2008;5;1091944999
Maria angeles;Rodriguez;12;6;1998;10;1151729251
Jose;Cabrera;16;5;1995;1;1241119658
Jose Antonio;Valencia;12;9;2008;9;1495639503
Teresa;Alba;4;4;1998;3;1178557636
Francisco;Garcia;10;11;2003;10;1109321756
Victor;Barroso;22;10;2003;1;1394322485
Isabel;Cortes;16;4;2004;4;1147685931
Dolores;Cubas;23;1;2006;3;1113543740
Rafael;Pavon;5;12;2005;11;1070416373
Pedro;Dieguez;17;7;1998;3;1303243128
Antonio;alvarez;29;4;2005;3;1281719824
David;Morales;31;9;2010;1;1174685647
Jose;Iglesias;27;11;2005;11;1282336854
Marc;Gallego;25;11;1996;8;1081639049
Pablo;Garcia;26;5;1995;8;1245787232
Concepcion;Sanchez;22;1;2010;8;1398370850
Maria Dolores;Verdu;10;9;2009;9;1307693369
Miguel;Diaz;20;7;1999;1;1444564326
Victor;De los Santos;14;7;2003;5;1200694928
Maria Pilar;Zamorano;10;11;2000;10;1297630346
David;Molinero;27;9;2000;9;1223991076
Maria Luisa;Vargas;7;3;2008;7;1385163103
Maria Jesus;Cerda;26;10;2005;7;1105038396
Carlos;Ocaña;14;6;1999;5;1007565840
Jesus Maria;Llabres;25;7;2009;1;1418068230
Jose Manuel;Perez;27;12;1999;5;1392577388
Ana Maria;Fuertes;12;9;2008;7;1181137073
Antonio;Esteban;4;9;1999;5;1056295470
Maria;Mendoza;8;1;2000;5;1162234264
Dolores;Menendez;22;12;2003;11;1361387506
Maria Jose;Garcia;27;5;1997;5;1497724090
Julio;Diop;23;5;2007;8;1022185681
Laura;Hernandez;25;9;2005;8;1328349031
Maria Luisa;Ramos;28;11;1995;6;1093459952
Carmen;Gutierrez;25;4;2006;8;1293364672
Antonia;Barragan;11;2;2010;2;1419334795
Maria Luisa;Lorenzo;21;8;2007;4;1468363741
Jesus;Rodriguez;8;11;1998;1;1023216302
Concepcion;Garcia;15;2;2010;9;1121136944
Marta;Garcia;3;1;1995;6;1022357357
Alejandro;Carrillo;19;9;2004;9;1496929599
Irene;Aviles;10;3;1997;3;1054710849
Jose Luis;Marquez;14;6;2004;6;1073910182
Raquel;Fernandez;30;12;1999;7;1468618691
Laura;Garrido;17;10;2008;10;1124717998
Cristina;Alonso;7;8;1998;1;1110639031
Jose Luis;Barros;29;10;2003;2;1344265903
Luis;Gutierrez;19;6;2009;10;1078119728
Jose Manuel;Torres;22;4;1998;1;1292733728
Carlos;Martin;15;5;2000;10;1121579511
Manuel;Fuertes;28;4;2002;11;1278885085
Jesus;Soares;7;10;2002;3;1055165812
Maria Carmen;Garcia;11;11;2010;2;1467534468
Jose Carlos;Gallego;10;1;2010;7;1037891151
Luis;Gallardo;14;3;1999;5;1279092589
Fernando;Diaz;4;6;2010;7;1425424296
Maria Pilar;Esteban;17;10;2007;6;1374272048
Juan;Toledano;15;5;2007;4;1427202267
Francisco Javier;Sanz;10;6;1999;6;1137531681
Jose Manuel;Perez;18;3;2007;7;1234987218
Paula;Palomino;15;1;2002;1;1195015953
Alba;Gomez;9;3;1997;4;1317157666
Juan Jose;Garcia;26;7;1997;8;1383720302
Irene;Sanchez;30;9;1996;7;1036774335
Francisco Javier;Garcia;18;1;2009;4;1265970515
Maria Carmen;Garcia;11;4;1998;6;1300418032
Carmen;Novillo;10;2;1997;8;1112627592
Carmen;Hernandez;22;8;2008;8;1068417605
Sergio;Cruz;11;5;2003;4;1196902976
Josefa;Diaz;6;3;1995;2;1202613489
Antonio;Hidalgo;8;11;1998;2;1153535003
Juan;Vazquez;18;12;2009;10;1432515037
Teresa;Fernandez;11;1;2004;5;1263151563
Fernando;Garcia;28;9;1997;3;1027517525
Mercedes;Monteagudo;28;2;2003;10;1409712731
Rosario;Silva;24;8;2003;10;1305779170
Maria;Sanchez;13;7;2002;6;1238598329
Carmen;Lopez;6;6;2006;10;1277527033
Maria angeles;Quesada;7;2;2010;3;1227627808
angel;Alonso;27;5;1995;1;1035066158
Luis;Ortiz;15;1;2004;11;1268187299
Silvia;Pastor;5;9;2005;7;1255807840
Sara;Jimenez;20;10;2010;3;1354288085
Sandra;Lozano;17;7;2004;2;1194847247
Victor;Castillo;6;6;2002;5;1192936698
Juana;Diaz;14;2;2010;1;1154042475
Manuel;Iranzo;13;4;2005;11;1119231730
Maria Carmen;Mateu;18;2;2007;4;1160921663
Oriol;Gonzalez;15;12;2007;2;1029587806
Maria Carmen;Garcia;8;3;1997;2;1008171769
Juan Francisco;Leiva;22;12;1998;5;1123743807
Antonia;Merida;10;11;1998;2;1105254231
Juan Carlos;Blanco;11;9;1995;1;1113892500
Jose Antonio;Garcia;5;3;2008;3;1473229367
Yolanda;Pinilla;3;7;2008;3;1447984258
Eva Maria;Fernandez;4;7;2010;1;1266260071
Francisco;Zhang;3;7;2010;10;1288888716
Maria Luisa;Fernandez;16;2;1995;9;1141372148
Diego;Leon;24;5;1997;4;1204038946
Maria Carmen;Del Castillo;13;5;2009;4;1158690559
Jose Luis;Morillo;6;2;2010;8;1453281470
Juan;Colom;21;11;2001;5;1368256639
Teresa;Delgado;12;10;2001;7;1394566167
Juan Carlos;Barrera;6;10;2007;2;1454515043
Jose;alvarez;5;1;2003;3;1309665343
Maria Dolores;Asensio;2;1;1996;5;1216045113
Miguel angel;Gavilan;16;10;2009;8;1324272089
Daniel;Bouza;20;6;2006;6;1196637193
Maria;Piris;9;3;2004;11;1420068948
Jorge;Pascual;26;11;1996;2;1320274238
Maria Jesus;Corral;22;5;1998;4;1438450970
Adrian;Romero;2;11;2002;3;1172107245
Ana Maria;Nieto;18;10;2006;3;1370501576
Juan Jose;Gomez;27;7;2001;7;1039171861
Miguel;Moreno;28;10;2003;1;1174680460
Francisco Javier;Gonzalez;5;6;1997;6;1337831884
Juan Carlos;Souto;12;2;2006;6;1362132170
Antonio;Lobato;2;5;2009;10;1472072037
Rafael;Martinez;26;11;2007;9;1312764918
Antonio;Atienza;1;11;1999;11;1488695255
Pedro;Macias;12;7;2006;1;1491179263
Jose Manuel;Carmona;13;8;1996;4;1302888898
Alejandro;Lopez;14;8;1996;5;1056574398
Maria Mar;Gimeno;19;5;2006;1;1181032524
Aitor;Paredes;7;6;2003;9;1219253424
Francisco;Romero;26;3;2008;11;1011213084
Concepcion;Heredia;7;9;2002;1;1265135365
Elena;Medina;8;2;2004;10;1216013725
Julian;Gomez;5;12;1995;7;1252573637
Alicia;Tortosa;5;8;2004;2;1311793934
Patricia;Vazquez;15;4;2002;1;1388919836
Maria Carmen;Plaza;23;4;1995;10;1361450400
Juan;Garcia;11;11;2009;1;1372948581
Maria;Alonso;6;10;2000;6;1113132365
Diego;Torrecilla;3;11;2008;10;1066920564
Jose;Martin;27;2;2007;8;1076902943
Pablo;Varela;23;12;2007;9;1166205203
Santiago;Sanchez;22;9;1997;10;1142525755
Antonio;Sevilla;15;2;2004;7;1348010555
Mercedes;Romero;14;3;2009;7;1426598515
Diego;Velasco;24;2;2000;7;1264265198
Andres;Velasco;26;7;2006;10;1013663255
Andres;Quintana;4;9;1995;10;1481953584
Jose Maria;Bueno;2;3;1996;6;1022118341
Josefa;Pineda;26;11;1998;6;1485042198
Concepcion;Rodriguez;20;10;1999;9;1364875552
Francisco;Ramirez;18;11;2005;8;1043058812
Sara;Polo;16;11;2006;10;1384798366
Isabel Maria;Ruiz;29;3;1997;6;1243895569
oscar;Varas;22;7;2001;1;1448706866
Miguel angel;Montero;28;9;1996;3;1319992143
Juan;Ibañez;12;6;2007;11;1241217561
Jose;Paz;30;6;2004;3;1144818132
Silvia;Hernandez;18;2;1999;3;1316317677
Maria Teresa;Lopez;10;3;2004;3;1400050497
Francisco;Molina;5;8;2005;2;1131342838
Adrian;Mendez;25;5;2003;1;1114728333
Jesus;Ruiz;3;10;2008;7;1137470353
Juan;Caro;19;10;2010;1;1099835792
Maria Pilar;Quilez;7;3;2007;8;1066493510
Isabel;Sanchez;25;12;1996;1;1485847595
Eduardo;Martin;25;9;1998;5;1443635077
Salvador;Prats;13;10;2004;6;1017653040
Enrique;Castillo;26;8;1996;1;1294831410
Dolores;Molina;6;10;2000;2;1494426415
Maria Carmen;Camara;28;10;2004;4;1315883830
Rafael;Perez;3;10;2004;4;1249487249
Manuel;Perez;14;3;1997;2;1219518335
Juana;Garcia;9;12;2010;5;1338386891
Roberto;Dominguez;31;11;1999;10;1114604648
Maria Carmen;Cabrera;31;1;1998;5;1354159651
David;Martin;29;7;2007;1;1312406891
Carmen;Martin;18;2;2010;7;1326939983
Rosa Maria;Ramirez;26;8;2009;11;1209636659
Monica;Barahona;27;4;2001;3;1466919165
Juana;Lara;6;12;2006;9;1239655696
Juan Antonio;Blasco;14;3;1999;1;1165768423
Maria;Pereira;24;4;2000;7;1308282149
Maria Carmen;Quero;12;4;2002;4;1313539239
Ana Maria;aguila;7;5;2008;8;1282253970
Raquel;Serra;8;4;2008;2;1042038104
Juana;Mateos;13;8;2009;1;1126833047
Ana Maria;Anguita;31;1;2006;4;1172328472
Juan Jose;Sanchez;20;3;2002;10;1276852844
Manuela;Carreño;28;6;2000;9;1301670495
Vicenta;Fuentes;1;7;2001;6;1328394804
Isabel;Garcia;21;7;1998;5;1002802196
Antonio;Pena;9;2;2000;3;1483974233
Rafael;Ortega;2;5;2000;6;1477199111
Silvia;Cabrera;5;7;2000;8;1311265828
Rafael;Garcia;17;4;2007;8;1298883710
Francisco;Garcia;22;3;2002;7;1164055803
Antonio;Molina;11;12;2003;7;1233219703
Maria Carmen;Gonzalez;5;1;1995;8;1263969743
Alejandro;Nieto;1;11;2006;5;1196964185
alvaro;Jimenez;26;8;2003;5;1374582057
Maria Pilar;Bermejo;5;11;2010;7;1109033751
Maria Carmen;Sanchez;18;10;1995;2;1328008755
Jose Miguel;Bermudez;7;10;2010;1;1186383041
Alejandro;Diaz;12;10;1997;11;1366985366
Manuel;Nieto;13;1;1999;8;1144403458
Ana;Claveria;8;1;1996;4;1265674868
Javier;Rivera;4;9;1998;9;1101391839
Maria Luisa;Ramirez;25;7;1999;5;1089983013
Ana Maria;Perez;3;10;2006;6;1025668490
Rosa Maria;Toribio;24;9;2002;5;1228387878
Alberto;Garcia;24;11;2007;10;1378235355
alvaro;Segovia;2;12;1998;6;1259262582
Maria;Delgado;15;12;2000;2;1461465051
Ramon;Pedraza;7;5;2008;6;1195738461
Raquel;Cordero;30;10;2000;9;1491381660
Maria Dolores;Varona;20;7;2003;5;1207202042
Francisca;Guillamon;28;6;2010;6;1205416754
Pedro;Olivares;25;2;1999;6;1065546137
Francisco;Castillo;17;12;2000;5;1477817144
Maria;Antequera;5;10;2007;6;1128168681
Jose Manuel;Martinez;14;10;2005;6;1356542963
Andrea;Polo;28;11;2010;11;1364009264
Eva;Diego;22;2;1998;10;1402005066
Cristina;Barbosa;19;3;1995;6;1310333581
Jose;Jimenez;21;3;2010;2;1007792286
Jose Maria;Zamora;10;7;1995;5;1363143573
Ramon;Dominguez;2;5;2001;3;1422431383
Maria Carmen;Pardo;23;7;2005;5;1032739371
Isabel;Martinez;20;8;1995;2;1077933224
Maria Teresa;Hervas;22;12;2008;8;1300494582
Carmen;Padilla;17;3;2001;1;1123208716
Dolores;Calvo;24;9;1998;9;1017742120
Maria Jesus;Garcia;19;4;2006;11;1369157783
Laura;Alonso;30;12;2000;7;1321345137
Marta;Valverde;15;7;2003;3;1051202390
Ana Isabel;Miguez;12;4;2000;10;1122607966
Sara;Fernandez;30;10;2000;2;1162229826
Paula;Jorda;20;2;2007;10;1135506285
Jose Luis;Delgado;7;2;2003;7;1027639731
oscar;Arribas;4;9;2003;11;1104083186
Juan;Osuna;2;4;1997;6;1134406580
Juan;Garcia;5;1;2002;4;1079196858
alvaro;Martinez;14;10;2001;10;1161513958
Ana;Galera;5;11;1998;3;1042311372
Rafael;Martinez;4;10;1997;2;1238905973
Maria;Iglesias;25;8;2000;1;1475834236
Maria Teresa;Canet;4;1;1999;10;1471480850
Miguel angel;alvarez;30;2;1996;10;1101136725
Asier;Rodriguez;15;11;1999;3;1104583155
Nuria;Canet;7;4;1998;8;1171938728
Raul;Dominguez;4;1;2008;5;1490584811
Alicia;Vicens;26;12;1999;2;1054577222
Nuria;Carrascosa;20;2;1998;4;1434118614
Carlos;Puig;23;1;2008;9;1221448399
Antonio;Fernandez;25;2;1998;7;1108131332
Aitor;Martinez;5;4;2003;3;1456533707
Maria;Gutierrez;31;1;1995;2;1000860400
Maria Carmen;Castro;6;12;2001;6;1298863267
Rosa Maria;Escudero;30;1;2005;6;1060295189
Montserrat;Cavero;27;1;2003;10;1055554663
Manuela;Gimenez;26;9;1995;11;1388767841
Francisco Javier;Jimenez;2;10;2005;5;1042583387
Teresa;Ramirez;4;10;1996;7;1371126062
Fernando;Monge;9;11;2005;9;1354254055
Maria Pilar;Giron;29;6;1998;10;1308428490
Marc;Millan;8;5;2003;10;1307866848
Francisco Javier;Fernandez;8;12;1996;1;1441976735
Maria Jose;Jimenez;9;6;1999;5;1431205644
Manuela;Cano;26;5;1997;1;1025605961
Maria Teresa;Gisbert;9;6;2003;6;1094494280
Raul;Lopez;15;8;2007;2;1379627637
Rosa Maria;Viña;28;8;2007;10;1118306113
Maria Isabel;Romero;3;12;2003;9;1397265159
Carmen;Pereira;31;5;2007;7;1043095109
Josefa;Garcia;18;7;2004;8;1072346807
Manuel;Sanchez;26;6;1998;2;1497992936
Francisca;Gonzalez;25;5;1998;9;1092006765
Jose Maria;Cañas;16;1;2006;5;1220609932
Fernando;Vargas;8;1;2003;8;1269494214
Catalina;Pozo;2;3;1997;2;1265980433
Manuel;Ocaña;15;4;2005;9;1142992409
Cristina;Acevedo;30;7;2006;10;1155465602
Josefa;Clavero;17;11;1999;8;1217857187
Juan Jose;Nuñez;14;9;2001;6;1230387323
Ana;Martin;7;2;2006;8;1296003653
Maria Carmen;Cruces;24;1;2004;2;1475682059
Teresa;Requena;17;10;2007;3;1149979716
Manuela;Vega;11;10;2001;2;1269929445
Javier;Pont;19;3;2000;10;1450355924
Alejandro;Jimenez;13;1;1999;8;1417711614
Jonathan;Gomez;25;9;2003;6;1017337577
Enrique;Fernandez;27;8;1998;2;1143587235
Adrian;Fernandez;9;5;2003;1;1118174625
Maria Rocio;Mayoral;27;4;2000;1;1421021891
Pedro;Quiles;25;7;2003;6;1148313816
Josefa;Mendez;4;11;2004;6;1207895944
Victor;Jimenez;18;2;2005;7;1110640045
Manuel;Mato;22;9;2005;7;1492306646
Daniel;Gonzalez;14;3;2001;3;1360643184
Jose Antonio;De Frutos;5;9;2006;11;1236017637
Mercedes;Balaguer;16;12;2003;10;1439168523
Marta;Arevalo;5;8;2001;7;1349595205
Marcos;Paya;26;11;2008;4;1067573291
Maria Teresa;Muñoz;20;3;2000;8;1199968369
Maria Dolores;Palacios;13;12;2004;9;1262216782
Jose;Murcia;24;2;2007;2;1099245193
Ana Maria;Rosa;18;12;2004;1;1348487380
Antonio;Clemente;28;10;2005;4;1368140047
Cristina;Fernandez;24;3;1997;6;1386071838
Manuel;Martin;22;10;2008;2;1048990190
Maria;Canton;23;2;1998;11;1463397554
Alberto;Antelo;6;9;2005;8;1327883351
Sandra;Carrasco;5;12;2001;9;1228825638
Juan Jose;Garcia;28;8;2005;5;1407049127
Pedro;Lopez;6;9;2008;7;1049375541
Ramon;Palacio;24;6;2001;9;1060623886
Carmen;Rubio;16;6;2007;2;1372127799
Ramon;Castillo;27;6;2001;8;1282958556
Marina;Martinez;14;7;2003;2;1403146032
Rosario;Garcia;2;10;1996;7;1437806479
Pilar;Galvez;15;1;2010;4;1262153809
Maria Jose;Salas;7;11;1999;1;1162948370
Raquel;Aragon;8;6;2010;6;1072305397
Elena;Carrera;28;11;2006;4;1294145466
Ana;Lara;20;9;2003;10;1436580185
Encarnacion;Padilla;14;5;1999;1;1345371346
Alejandro;Chamorro;23;3;1995;6;1459741614
Javier;Sanchez;12;2;1995;9;1021347723
Ricardo;Sanz;4;4;1995;11;1407829776
Jose;Nuñez;6;10;1998;5;1064034216
Maria Carmen;Sanchez;2;8;2002;5;1436137846
Alba;Lucena;22;8;2008;8;1449288069
Carlos;Navarrete;17;7;1997;10;1041374525
Francisco;Lucas;4;4;1996;10;1253599330
